"emptot","emptot2","emptot_diff","nj","southj","centralj","pa1","pa2","bk","kfc","roys","wage_st","wage_st2","co_owned","closed","wagegap"
34,20,-14,0,0,0,1,0,0,0,0,5,5.25,1,0,0
24,35.5,11.5,0,0,0,1,0,0,0,0,5.5,4.75,1,0,0
70.5,29,-41.5,0,0,0,0,1,1,0,0,5,4.75,0,0,0
23.5,36.5,13,0,0,0,0,1,1,0,0,5,5,0,0,0
11,11,0,0,0,0,0,1,0,1,0,5.25,5,1,0,0
9,8.5,-0.5,0,0,0,1,0,0,1,0,5,5,1,0,0
15.5,17.5,2,0,0,0,0,1,0,0,1,5,4.75,1,0,0
58,29,-29,0,0,0,0,1,1,0,0,5,5,0,0,0
26.5,30.5,4,0,0,0,0,1,1,0,0,5,4.5,0,0,0
28.5,26,-2.5,0,0,0,0,1,1,0,0,5.5,4.75,0,0,0
13.5,18,4.5,0,0,0,0,1,1,0,0,5,4.5,0,0,0
16.75,20,3.25,0,0,0,0,1,0,1,0,5.25,5,1,0,0
9.5,13.5,4,0,0,0,0,1,0,1,0,5,4.75,1,0,0
15,19,4,0,0,0,0,1,0,0,1,5,4.75,1,0,0
29.5,15.5,-14,0,0,0,0,1,0,0,1,5,4.75,0,0,0
18.5,14.5,-4,0,0,0,0,1,0,0,1,5,4.25,0,0,0
20.25,14,-6.25,0,0,0,0,1,0,0,1,5,5,1,0,0
36,19,-17,0,0,0,1,0,0,0,1,5,4.9,1,0,0
21,21,0,0,0,0,0,1,0,0,1,5,5,0,0,0
20.5,18,-2.5,0,0,0,0,1,0,0,1,5,4.75,1,0,0
19,20.5,1.5,0,0,0,0,1,0,0,0,5,5,1,0,0
14,13.5,-0.5,0,0,0,0,1,0,0,1,5,4.25,1,0,0
19,17.5,-1.5,0,0,0,0,1,0,0,1,5,4.75,1,0,0
32.5,25.5,-7,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
27,25.5,-1.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
19.5,27,7.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
24,16,-8,0,0,0,1,0,1,0,0,4.5,4.25,0,0,0
18,19,1,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
19,25,6,0,0,0,1,0,1,0,0,4.25,4.38,0,0,0
14,17,3,0,0,0,1,0,0,1,0,4.5,4.75,0,0,0
10.5,16.5,6,0,0,0,1,0,0,1,0,4.25,4.25,0,0,0
38,20,-18,0,0,0,1,0,0,0,0,4.67,4.5,1,0,0
