"state","district","year","party","office","score","democrat","lagdemocrat","demvoteshare"
1,1,1948,100,1,64.3399963378906,1,0,0.553025603294373
1,1,1948,100,1,60.2799987792969,1,0,0.553025603294373
1,1,1950,100,1,57.060001373291,1,1,0.582441449165344
1,1,1950,100,1,73.8300018310547,1,1,0.582441449165344
1,1,1954,100,1,42.9599990844727,1,1,0.569626033306122
1,1,1954,100,1,74.3099975585938,1,1,0.569626033306122
1,1,1956,200,1,48.8300018310547,0,1,0.463040798902512
1,1,1956,200,1,36.5800018310547,0,1,0.463040798902512
1,1,1958,100,1,73.0400009155273,1,0,0.543410778045654
1,1,1958,100,1,68.0400009155273,1,0,0.543410778045654
1,1,1960,100,1,67.3300018310547,1,1,0.58458012342453
1,1,1964,100,1,76.5899963378906,1,1,0.699679136276245
1,1,1964,100,1,73.620002746582,1,1,0.699679136276245
1,1,1966,100,1,84.8199996948242,1,1,0.584674060344696
1,1,1966,100,1,78.6900024414062,1,1,0.584674060344696
1,1,1968,100,1,70.5599975585938,1,1,0.626141786575317
1,1,1968,100,1,77.4599990844727,1,1,0.626141786575317
1,1,1970,100,1,69.6399993896484,1,1,0.503317534923553
1,1,1970,100,1,72.4899978637695,1,1,0.503317534923553
1,1,1974,100,1,87.0899963378906,1,1,0.635668456554413
1,1,1974,100,1,68.3300018310547,1,1,0.635668456554413
1,1,1976,100,1,63.9599990844727,1,1,0.577213227748871
1,1,1976,100,1,64.2399978637695,1,1,0.577213227748871
1,1,1978,100,1,68.3399963378906,1,1,0.602361381053925
1,1,1978,100,1,47,1,1,0.602361381053925
1,1,1980,100,1,2.20000004768372,1,1,0.630411803722382
1,1,1984,100,2,91.870002746582,1,1,0.619304120540619
1,1,1984,100,2,83.5500030517578,1,1,0.619304120540619
1,1,1986,100,2,83.6800003051758,1,1,0.74503618478775
1,1,1986,100,2,77.9100036621094,1,1,0.74503618478775
1,1,1988,100,1,89.9899978637695,1,1,0.772442758083344
1,1,1988,100,1,81.1100006103516,1,1,0.772442758083344
1,1,1990,100,2,81.9400024414062,1,1,0.714029431343079
1,1,1990,100,2,95.6500015258789,1,1,0.714029431343079
1,2,1948,100,1,71.4199981689453,1,0,0.516472399234772
1,2,1948,100,1,57.9000015258789,1,0,0.516472399234772
1,2,1950,200,1,60.6300010681152,0,1,0.491779416799545
1,2,1950,200,1,37.1100006103516,0,1,0.491779416799545
1,2,1954,200,1,58.9700012207031,0,0,0.493109971284866
1,2,1954,200,1,22.5,0,0,0.493109971284866
1,2,1956,200,1,50.7099990844727,0,0,0.409508615732193
1,2,1956,200,1,61.25,0,0,0.409508615732193
1,2,1958,100,1,68.0400009155273,1,0,0.532890975475311
1,2,1958,100,1,73.0400009155273,1,0,0.532890975475311
1,2,1960,200,1,45.689998626709,0,1,0.49878391623497
1,2,1964,100,1,76.5899963378906,1,1,0.632658123970032
1,2,1964,100,1,73.620002746582,1,1,0.632658123970032
1,2,1966,100,1,84.8199996948242,1,1,0.565422654151917
1,2,1966,100,1,78.6900024414062,1,1,0.565422654151917
1,2,1968,100,1,89.7399978637695,1,1,0.543791353702545
1,2,1970,200,1,53.6599998474121,0,1,0.467436820268631
1,2,1974,100,1,77.8099975585938,1,0,0.600842297077179
1,2,1974,100,1,68.3300018310547,1,0,0.600842297077179
1,2,1976,100,1,80.4700012207031,1,1,0.656238675117493
1,2,1976,100,1,102.889999389648,1,1,0.656238675117493
1,2,1978,100,1,86,1,1,0.699222385883331
1,2,1978,100,1,86.4100036621094,1,1,0.699222385883331
1,2,1980,100,1,101.069999694824,1,1,0.533744156360626
1,2,1980,100,1,100.660003662109,1,1,0.533744156360626
1,2,1984,100,1,93.4300003051758,1,1,0.546189069747925
1,2,1984,100,1,91.870002746582,1,1,0.546189069747925
1,2,1986,100,1,88.7799987792969,1,1,0.67384546995163
1,2,1986,100,1,85.6600036621094,1,1,0.67384546995163
1,2,1988,100,1,92.3000030517578,1,1,0.636181652545929
1,2,1988,100,1,94.7600021362305,1,1,0.636181652545929
1,2,1990,100,1,85.3300018310547,1,1,0.597050130367279
1,2,1990,100,1,97.1100006103516,1,1,0.597050130367279
1,3,1948,100,1,71.4199981689453,1,0,0.503394722938538
1,3,1948,100,1,70.7799987792969,1,0,0.503394722938538
1,3,1950,100,1,73.8300018310547,1,1,0.520638346672058
